preparing vectors...Hang Tight...
Vectors prepared.
Applying KMeans Clustering to vectors...Hang Tight...
KMeans applied, clusters formed
Predicting labels...Hang Tight...
Writing to file...
Done...File saved to current Directory
None
         615113 function calls (615084 primitive calls) in 406.109 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
      566    0.000    0.000    0.000    0.000 base.py:1081(isspmatrix)
     1193    0.000    0.000    0.000    0.000 base.py:181(nnz)
       49    0.000    0.000    0.609    0.012 base.py:236(asformat)
       51    0.000    0.000    0.719    0.014 base.py:326(__mul__)
        2    0.000    0.000    0.000    0.000 base.py:413(__rmul__)
      155    0.000    0.000    0.000    0.000 base.py:545(__getattr__)
      279    0.000    0.000    0.000    0.000 base.py:70(__init__)
      279    0.000    0.000    0.000    0.000 base.py:77(set_shape)
        1    0.000    0.000    0.000    0.000 base.py:795(sum)
     1816    0.000    0.000    0.000    0.000 base.py:99(get_shape)
       49    0.000    0.000    0.031    0.001 base.py:998(_process_toarray_args)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
       26    0.000    0.000    0.109    0.004 compressed.py:1012(sort_indices)
      255    0.000    0.000    0.000    0.000 compressed.py:1021(prune)
       28    0.000    0.000    0.000    0.000 compressed.py:1041(_with_data)
       49    0.000    0.000    0.000    0.000 compressed.py:116(_set_self)
      230    0.000    0.000    0.000    0.000 compressed.py:127(check_format)
  230/205    0.016    0.000    0.625    0.003 compressed.py:24(__init__)
        2    0.000    0.000    0.000    0.000 compressed.py:445(_mul_vector)
       49    0.000    0.000    0.719    0.015 compressed.py:471(_mul_sparse_matrix)
        1    0.000    0.000    0.000    0.000 compressed.py:556(sum)
       49    0.016    0.000    0.016    0.000 compressed.py:905(tocoo)
       49    0.000    0.000    0.078    0.002 compressed.py:918(toarray)
       27    0.000    0.000    0.000    0.000 compressed.py:936(__get_has_canonical_format)
       51    0.000    0.000    0.000    0.000 compressed.py:957(__set_has_canonical_format)
       27    0.000    0.000    0.062    0.002 compressed.py:965(sum_duplicates)
       26    0.000    0.000    0.000    0.000 compressed.py:981(__get_sorted)
     1095    0.000    0.000    0.000    0.000 compressed.py:99(getnnz)
       77    0.000    0.000    0.000    0.000 compressed.py:996(__set_sorted)
       49    0.000    0.000    0.000    0.000 coo.py:118(__init__)
       98    0.000    0.000    0.000    0.000 coo.py:186(getnnz)
       49    0.000    0.000    0.000    0.000 coo.py:212(_check)
       49    0.000    0.000    0.062    0.001 coo.py:250(toarray)
        6    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
     1979    0.016    0.000    0.047    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.000    0.000 csc.py:112(transpose)
       25    0.000    0.000    0.609    0.024 csc.py:139(tocsr)
       81    0.000    0.000    0.000    0.000 csc.py:215(_swap)
       27    0.000    0.000    0.000    0.000 csr.py:131(transpose)
      807    0.000    0.000    0.000    0.000 csr.py:231(_swap)
       50    0.000    0.000    0.109    0.002 csr.py:236(__getitem__)
       25    0.000    0.000    0.016    0.001 csr.py:237(asindices)
       25    0.000    0.000    0.000    0.000 csr.py:250(check_bounds)
       25    0.000    0.000    0.016    0.001 csr.py:264(extractor)
       25    0.000    0.000    0.016    0.001 csr.py:368(_get_row_slice)
       25    0.000    0.000    0.016    0.001 csr.py:411(_get_submatrix)
       50    0.000    0.000    0.000    0.000 csr.py:416(process_slice)
       50    0.016    0.000    0.016    0.000 csr.py:439(check_bounds)
        1    0.000    0.000    0.000    0.000 csr.py:458(isspmatrix_csr)
      279    0.000    0.000    0.000    0.000 data.py:22(__init__)
      427    0.000    0.000    0.000    0.000 data.py:25(_get_dtype)
       27    0.000    0.000    0.062    0.002 data.py:32(_deduped_data)
       27    0.000    0.000    0.062    0.002 data.py:64(astype)
        1    0.000    0.000    0.000    0.000 data.py:70(copy)
        2    0.000    0.000    0.000    0.000 defmatrix.py:246(__new__)
      7/6    0.000    0.000    0.000    0.000 defmatrix.py:292(__array_finalize__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:340(__mul__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:391(_collapse)
        1    0.000    0.000    0.000    0.000 defmatrix.py:425(sum)
        2    0.000    0.000    0.000    0.000 defmatrix.py:66(asmatrix)
        4    0.000    0.000    0.000    0.000 enum.py:265(__call__)
        4    0.000    0.000    0.000    0.000 enum.py:515(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:797(__and__)
       25    0.000    0.000    0.734    0.029 extmath.py:177(safe_sparse_dot)
       26    0.000    0.000    0.031    0.001 extmath.py:59(row_norms)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:1036(searchsorted)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1383(ravel)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2067(cumsum)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2843(mean)
      707    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
       25    0.000    0.000    0.000    0.000 getlimits.py:256(min)
      682    0.000    0.000    0.000    0.000 getlimits.py:270(max)
        1    0.000    0.000    0.000    0.000 k_means_.py:146(_validate_center_shape)
        1    0.000    0.000    0.031    0.031 k_means_.py:159(_tolerance)
        1    0.000    0.000  400.953  400.953 k_means_.py:168(k_means)
        1    0.000    0.000  400.922  400.922 k_means_.py:404(_kmeans_single_lloyd)
        1    0.016    0.016    0.875    0.875 k_means_.py:45(_k_init)
        1  400.031  400.031  400.031  400.031 k_means_.py:571(_labels_inertia)
        1    0.000    0.000    0.875    0.875 k_means_.py:624(_init_centroids)
        1    0.000    0.000    0.000    0.000 k_means_.py:835(__init__)
        1    0.000    0.000    0.062    0.062 k_means_.py:852(_check_fit_data)
        1    0.000    0.000  401.016  401.016 k_means_.py:871(fit)
       28    0.000    0.000    0.000    0.000 numeric.py:148(ones)
       53    0.000    0.000    0.000    0.000 numeric.py:2064(isscalar)
     2624    0.000    0.000    0.078    0.000 numeric.py:414(asarray)
       78    0.000    0.000    0.000    0.000 numeric.py:484(asanyarray)
        1    0.000    0.000    0.000    0.000 numeric.py:86(zeros_like)
        3    0.000    0.000    0.000    0.000 numerictypes.py:1015(<listcomp>)
        3    0.000    0.000    0.000    0.000 numerictypes.py:1016(<listcomp>)
       27    0.000    0.000    0.000    0.000 numerictypes.py:660(issubclass_)
       27    0.000    0.000    0.000    0.000 numerictypes.py:728(issubdtype)
        6    0.000    0.000    0.000    0.000 numerictypes.py:942(_can_coerce_all)
       24    0.000    0.000    0.000    0.000 numerictypes.py:951(<listcomp>)
        3    0.000    0.000    0.000    0.000 numerictypes.py:964(find_common_type)
       25    0.000    0.000    0.797    0.032 pairwise.py:162(euclidean_distances)
       25    0.000    0.000    0.000    0.000 pairwise.py:33(_return_float_dtype)
       25    0.000    0.000    0.031    0.001 pairwise.py:57(check_pairwise_arrays)
        1    0.000    0.000  406.109  406.109 profile:0(print(KMeans.apply()))
